intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),posted_time,early_applicant,apply_links
Technical Sales Associate,AppSynergies Private Limited,Actively hiring,Workfromhome,,10000.0,6,Today,,https://internshala.com/internship/detail/work-from-home-technical-sales-associate-internship-at-appsynergies-private-limited1751544172
Content and Social Media Marketing,YOGIKRIPA MEDICHEM,,Mumbai,,8000.0,3,Today,Be an early applicant,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-mumbai-at-yogikripa-medichem1751544054
Flutter Development,Isourse,Actively hiring,Delhi,₹ 6,30000.0,6,Today,,https://internshala.com/internship/detail/flutter-development-internship-in-delhi-at-isourse1751543985
Field Sales,Hydropure Industries,,Workfromhome,,18000.0,2,Today,,https://internshala.com/internship/detail/work-from-home-part-time-field-sales-internship-at-hydropure-industries1751543843
Business Development (Sales),Pephot Solutions,Actively hiring,Workfromhome,,22500.0,3,Today,,https://internshala.com/internship/detail/work-from-home-part-time-business-development-sales-internship-at-pephot-solutions1751543711
Operations,Neo Group,,Gurgaon,,8000.0,3,Today,,https://internshala.com/internship/detail/operations-internship-in-gurgaon-at-neo-group1751543686
Photography,AH International Private Limited,,Jaipur,,15000.0,6,Today,Be an early applicant,https://internshala.com/internship/detail/photography-internship-in-jaipur-at-ah-international-private-limited1751543638
Video Editing/Making,UpTodd,,Workfromhome,,5000.0,2,Today,,https://internshala.com/internship/detail/work-from-home-part-time-video-editing-making-internship-at-uptodd1751536321
Search Engine Optimization (SEO),Padhakku Peek A Book Private Limited,,Noida,,10000.0,3,Today,,https://internshala.com/internship/detail/search-engine-optimization-seo-internship-in-noida-at-padhakku-peek-a-book-private-limited1751536038
Social Media Marketing,Devi,,Delhi,,25000.0,3,Today,,https://internshala.com/internship/detail/social-media-marketing-internship-in-delhi-at-devi1751536011
Supply Chain & Logistics Operations,Intessence Solutions Pvt Ltd,,Bangalore,,15000.0,6,Today,,https://internshala.com/internship/detail/supply-chain-logistics-operations-internship-in-bangalore-at-intessence-solutions-pvt-ltd1751543168
Content Creation,Super Industries,,SahibzadaAjitSinghNagar,,12000.0,6,Today,Be an early applicant,https://internshala.com/internship/detail/content-creation-internship-in-sahibzada-ajit-singh-nagar-at-super-industries1751542638
PHP Development,Avenir Technosys LLP,,Workfromhome,,5000.0,6,Today,,https://internshala.com/internship/detail/work-from-home-php-development-internship-at-avenir-technosys-llp1751535184
Industrial And Production Engineering,Infinos Technologies LLP,,Hyderabad,,8500.0,,Today,Be an early applicant,https://internshala.com/internship/detail/part-time-industrial-and-production-engineering-internship-in-hyderabad-at-infinos-technologies-llp1751542439
Teaching,MCAPREP,,Workfromhome,,12000.0,6,Today,,https://internshala.com/internship/detail/work-from-home-part-time-teaching-internship-at-mcaprep1751542408
Media & Public Relations (PR),Panchaamrit Vastu,,"Delhi,Gurgaon,Noida",,10000.0,6,Today,Be an early applicant,https://internshala.com/internship/detail/media-public-relations-pr-internship-in-multiple-locations-at-panchaamrit-vastu1751542328
Data Entry,PromotEdge Global Services,,Kolkata,,5000.0,6,Today,Be an early applicant,https://internshala.com/internship/detail/data-entry-internship-in-kolkata-at-promotedge-global-services1751541991
Video Editing/Making,Naman Gulati,,Workfromhome,,5000.0,6,Today,,https://internshala.com/internship/detail/work-from-home-video-editing-making-internship-at-naman-gulati1751541946
Sales,Visacrave,,Workfromhome,,5000.0,6,Today,,https://internshala.com/internship/detail/work-from-home-sales-internship-at-visacrave1751534656
Graphic Design,Bombay Design Centre,,Mumbai,,10000.0,6,Today,Be an early applicant,https://internshala.com/internship/detail/graphic-design-internship-in-mumbai-at-bombay-design-centre1751541857
Search Engine Optimization (SEO),Lead India Law,,Delhi,,5000.0,3,Today,Be an early applicant,https://internshala.com/internship/detail/search-engine-optimization-seo-internship-in-delhi-at-lead-india-law1751541702
Mobile App Development,Coceptual Media,,Workfromhome,,2000.0,2,Today,,https://internshala.com/internship/detail/work-from-home-mobile-app-development-internship-at-coceptual-media1751534443
Human Resources (HR),Sociium,,Chennai,₹ 3.8,15000.0,3,Today,,https://internshala.com/internship/detail/human-resources-hr-internship-in-chennai-at-sociium1751534439
E‑commerce Category,NUVR,,"Kolkata,Bangalore",,10000.0,3,Today,,https://internshala.com/internship/detail/ecommerce-category-internship-in-multiple-locations-at-nuvr1751541430
Marketing & Field (Paid),Pushpa Foods - HeriMore,,Mumbai,,7000.0,2,Today,Be an early applicant,https://internshala.com/internship/detail/marketing-field-paid-internship-in-mumbai-at-pushpa-foods-herimore1751541209
Fashion Consultant,Shanu BELLANI,,Chennai,,15000.0,3,Today,Be an early applicant,https://internshala.com/internship/detail/fashion-consultant-internship-in-chennai-at-shanu-bellani1751541108
Business Development (Sales),Addweb.tech,,Workfromhome,,8000.0,2,Today,,https://internshala.com/internship/detail/work-from-home-business-development-sales-internship-at-addwebtech1751540827
Customer Service/Customer Support,Transcon Developers,,Mumbai,,11000.0,6,Today,Be an early applicant,https://internshala.com/internship/detail/customer-service-customer-support-internship-in-mumbai-at-transcon-developers1751540868
"Marketing, Design & Content Creation (LinkedIn Focus)",Madgical Techdom (OPC) Private Limited,,Workfromhome,,8000.0,3,Today,,https://internshala.com/internship/detail/work-from-home-marketing-design-content-creation-linkedin-focus-internship-at-madgical-techdom-opc-private-limited1751540866
Packaging Engineer,Kazam EV Tech Pvt Ltd,,Bangalore,,25000.0,6,1 day ago,Be an early applicant,https://internshala.com/internship/detail/packaging-engineer-internship-in-bangalore-at-kazam-ev-tech-pvt-ltd1751540469
Hotel Management(Chef),Seasoned Wonders,,Bangalore,,2500.0,,1 day ago,Be an early applicant,https://internshala.com/internship/detail/part-time-hotel-managementchef-internship-in-bangalore-at-seasoned-wonders1751540422
Python Development,DeepTech Launchpad,,"Coimbatore,Erode,Ooty,Pollachi,Udumalpet,Palani,Avinashi,Tiruppur,Mettupalayam,Annur,Perundurai,Salem,Sulur,Gopichettipalayam,Palladam",₹ 2,2000.0,6,1 day ago,Be an early applicant,https://internshala.com/internship/detail/python-development-internship-in-multiple-locations-at-deeptech-launchpad1751540339
Communication Strategy,Aminu Wellness Private Limited,,Mumbai,,12000.0,6,1 day ago,Be an early applicant,https://internshala.com/internship/detail/communication-strategy-internship-in-mumbai-at-aminu-wellness-private-limited1751540151
Event Management,Get Out And Play India,,Pune,,15000.0,6,1 day ago,Be an early applicant,https://internshala.com/internship/detail/event-management-internship-in-pune-at-get-out-and-play-india1751539842
Content and Social Media Marketing,Advance Group Of Architects,,"Delhi,Lucknow,Pune,Mumbai,Bangalore",,10500.0,3,1 day ago,,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-multiple-locations-at-advance-group-of-architects1751539817
Instagram Marketing,Pawzz,Actively hiring,"Delhi,Gurgaon",₹ 6,25000.0,6,1 day ago,,https://internshala.com/internship/detail/instagram-marketing-internship-in-multiple-locations-at-pawzz1751539774
Social Media Marketing,CandidMen,,Bangalore,,25000.0,6,1 day ago,Be an early applicant,https://internshala.com/internship/detail/social-media-marketing-internship-in-bangalore-at-candidmen1751539777
Human Resources (HR),Vidyalai,,Kochi,,10001.0,6,1 day ago,Be an early applicant,https://internshala.com/internship/detail/human-resources-hr-internship-in-kochi-at-vidyalai1751532539
Content Writing,Outright Systems Private Limited,Actively hiring,Noida,₹ 2,8000.0,3,1 day ago,,https://internshala.com/internship/detail/content-writing-internship-in-noida-at-outright-systems-private-limited1751537915
Recruitment Consultant,VB Group,,Hyderabad,,5001.0,6,1 day ago,Be an early applicant,https://internshala.com/internship/detail/recruitment-consultant-internship-in-hyderabad-at-vb-group1751539571
Company Secretary (CS),KNSG & CO LLP,,Delhi,,7000.0,12,1 day ago,Be an early applicant,https://internshala.com/internship/detail/company-secretary-cs-internship-in-delhi-at-knsg-co-llp1751539502
Study Abroad Counsellor,Maple Immigration And Consultancy,,Delhi,,25000.0,6,1 day ago,Be an early applicant,https://internshala.com/internship/detail/study-abroad-counsellor-internship-in-delhi-at-maple-immigration-and-consultancy1751538772
Social Media Marketing,Shree Laxmi,,Kolkata,,5000.0,3,1 day ago,Be an early applicant,https://internshala.com/internship/detail/part-time-social-media-marketing-internship-in-kolkata-at-shree-laxmi1751539113
Telecalling,EXp Realty,,"NaviMumbai,Mumbai",,30000.0,6,1 day ago,Be an early applicant,https://internshala.com/internship/detail/telecalling-internship-in-multiple-locations-at-exp-realty1751539188
Business Development (Sales) Manager,Jhatfat Delivery Service,,Dehradun,,5000.0,,1 day ago,Be an early applicant,https://internshala.com/internship/detail/business-development-sales-manager-internship-in-dehradun-at-jhatfat-delivery-service1751539042
CAD Design,Ossus Biorenewables Private Limited,,Bangalore,,20000.0,3,1 day ago,,https://internshala.com/internship/detail/cad-design-internship-in-bangalore-at-ossus-biorenewables-private-limited1751537582
M365 Sales & Outreach Manager,Hidecible Office Systems,,Workfromhome,,8000.0,3,1 day ago,Be an early applicant,https://internshala.com/internship/detail/work-from-home-part-time-m365-sales-outreach-manager-internship-at-hidecible-office-systems1751538904
Full Stack Development,Think41,Actively hiring,Bangalore,₹ 8,25000.0,,1 day ago,,https://internshala.com/internship/detail/full-stack-development-internship-in-bangalore-at-think411751538776
Business Development (Sales) Manager,City Art Factory,,Kolkata,,30000.0,6,1 day ago,Be an early applicant,https://internshala.com/internship/detail/business-development-sales-manager-internship-in-kolkata-at-city-art-factory1751538747
Graphic Design,Indxx,,Gurgaon,,10000.0,3,1 day ago,Be an early applicant,https://internshala.com/internship/detail/graphic-design-internship-in-gurgaon-at-indxx1751531376
Quality Analyst,Jarurat Care,Actively hiring,Workfromhome,,,4,1 day ago,,https://internshala.com/internship/detail/work-from-home-part-time-quality-analyst-internship-at-jarurat-care1751538405
Mobile App Development,Indrav,Actively hiring,Workfromhome,,1000.0,2,1 day ago,,https://internshala.com/internship/detail/work-from-home-mobile-app-development-internship-at-indrav1751538380
Content and Social Media Marketing,Royal Pixels,,Workfromhome,,3001.0,3,1 day ago,,https://internshala.com/internship/detail/work-from-home-part-time-content-and-social-media-marketing-internship-at-royal-pixels1751538372
Investment Analyst,Guitcom Consulting Private Limited,Actively hiring,Bangalore,,30000.0,3,1 day ago,,https://internshala.com/internship/detail/investment-analyst-internship-in-bangalore-at-guitcom-consulting-private-limited1751538358
Campus Ambassador,Billion Hearts,,"Mumbai,Bangalore",,,,1 day ago,Be an early applicant,https://internshala.com/internship/detail/campus-ambassador-programme-at-billion-hearts1751538350
Statistics And Probability SME (Night Shift),CloudBird Digital Private Limited,Actively hiring,Workfromhome,,5000.0,3,1 day ago,,https://internshala.com/internship/detail/work-from-home-statistics-and-probability-sme-night-shift-internship-at-cloudbird-digital-private-limited1751538278
Logistics And Operations Manager,Early Steps Academy,,Bangalore,,15000.0,4,1 day ago,Be an early applicant,https://internshala.com/internship/detail/logistics-and-operations-manager-internship-in-bangalore-at-early-steps-academy1751538117
Electrical Engineering SME (Night Shift),CloudBird Digital Private Limited,Actively hiring,Workfromhome,,5000.0,3,1 day ago,,https://internshala.com/internship/detail/work-from-home-electrical-engineering-sme-night-shift-internship-at-cloudbird-digital-private-limited1751538083
SME Mechanical Engineering (Night Shift),CloudBird Digital Private Limited,Actively hiring,Workfromhome,,5000.0,3,1 day ago,,https://internshala.com/internship/detail/work-from-home-sme-mechanical-engineering-night-shift-internship-at-cloudbird-digital-private-limited1751538054
Marketing,AKSN Properties Private Limited,,Rayagada,,5000.0,3,1 day ago,Be an early applicant,https://internshala.com/internship/detail/marketing-internship-in-rayagada-at-aksn-properties-private-limited1751538010
Business Development (Sales) Manager,Let's Trip,,Workfromhome,,6000.0,2,1 day ago,,https://internshala.com/internship/detail/work-from-home-business-development-sales-manager-internship-at-lets-trip1751537786
CLAT UG Expert,Lawtech,Actively hiring,Workfromhome,,8000.0,3,1 day ago,,https://internshala.com/internship/detail/work-from-home-clat-ug-expert-internship-at-lawtech1751537564
Business Development (Sales),Millionaize,Actively hiring,Workfromhome,,18000.0,3,1 day ago,,https://internshala.com/internship/detail/work-from-home-business-development-sales-internship-at-millionaize1751537537
Food Distribution Volunteer,Mission Learning Foundation,,NaviMumbai,,,6,1 day ago,Be an early applicant,https://internshala.com/internship/detail/part-time-food-distribution-volunteer-internship-in-navi-mumbai-at-mission-learning-foundation1751537489
